bitRes, root, min, max, median, mean, stddev
5, 0.300000, -33.39, -14.56, -7.60, -15.32, 4.78
5, 0.350000, -29.01, -14.59, -6.76, -15.57, 5.39
5, 0.400000, -31.44, -14.28, -8.06, -15.39, 4.77
5, 0.450000, -38.23, -14.65, -7.51, -15.36, 5.46
5, 0.550000, -31.92, -13.94, -5.28, -14.98, 4.91
6, 0.300000, -35.60, -19.67, -14.20, -20.78, 4.88
6, 0.350000, -46.16, -20.15, -11.61, -21.17, 6.01
6, 0.400000, -39.70, -20.51, -13.16, -21.40, 5.20
6, 0.450000, -34.40, -20.96, -10.54, -21.12, 4.66
6, 0.550000, -36.69, -20.81, -11.60, -21.55, 5.06
7, 0.300000, -40.45, -26.47, -18.04, -26.92, 4.69
7, 0.350000, -42.37, -27.34, -17.80, -27.79, 5.71
7, 0.400000, -43.83, -26.29, -17.64, -26.60, 5.55
7, 0.450000, -52.13, -26.12, -19.13, -27.66, 6.39
7, 0.550000, -45.95, -26.40, -17.14, -27.31, 5.77
8, 0.300000, -62.75, -32.15, -23.40, -33.52, 6.35
8, 0.350000, -46.85, -31.05, -21.31, -32.58, 5.42
8, 0.400000, -50.21, -30.68, -25.16, -32.27, 5.52
8, 0.450000, -57.73, -32.29, -23.65, -33.57, 5.91
8, 0.550000, -51.60, -31.64, -23.20, -32.85, 5.39
9, 0.300000, -59.35, -37.81, -28.76, -38.26, 5.52
9, 0.350000, -58.12, -34.87, -25.47, -35.46, 5.40
9, 0.400000, -51.26, -34.22, -26.04, -35.17, 5.34
9, 0.450000, -55.76, -37.41, -26.65, -37.44, 5.26
9, 0.550000, -51.44, -38.91, -28.31, -39.21, 5.13
10, 0.300000, -67.59, -42.01, -34.25, -43.04, 5.74
10, 0.350000, -65.16, -41.23, -33.81, -42.27, 5.66
10, 0.400000, -56.40, -40.65, -32.92, -41.62, 4.39
10, 0.450000, -55.02, -42.14, -33.38, -43.38, 5.23
10, 0.550000, -65.67, -42.27, -34.96, -42.92, 5.61
